question,answer
o que o CDC está fazendo para lidar com Visa e VRSA?,"On this Page General Information about VISA/VRSA What is Staphylococcus aureus? How do VISA and VRSA get their names? What should a patient do if they suspect they have a Staph, MRSA, VISA, or VRSA infection? Are VISA and VRSA infections treatable? How can the spread of VISA and VRSA be prevented? What should a person do if a family member or close friend has VISA or VRSA? What is CDC doing to address VISA and VRSA? Recommendations and Guidelines General Information about VISA/VRSA For more images of this bacterium, search the Public Health Image Library Vancomycin [van−kō−mī−sin]-intermediate Staphylococcus aureus [staff−u−lu−kaw−kus  aw−ree−us] (also called VISA) and Vancomycin-resistant Staphylococcus aureus (also called VRSA) are specific types of antimicrobial-resistant bacteria. However, as of October 2010, all VISA and VRSA isolates have been susceptible to other Food and Drug Administration (FDA)-approved drugs. Persons who develop this type of staph infection may have underlying health conditions (such as diabetes and kidney disease), tubes going into their bodies (such as catheters), previous infections with methicillin-resistant Staphylococcus aureus (MRSA), and recent exposure to vancomycin and other antimicrobial agents. What is Staphylococcus aureus? Staphylococcus aureus is a bacterium commonly found on the skin and in the nose of about 30% of individuals. Most of the time, staph does not cause any harm. These infections can look like pimples, boils, or other skin conditions and most are able to be treated. Sometimes staph bacteria can get into the bloodstream and cause serious infections which can be fatal, including: Bacteremia or sepsis when bacteria spread to the bloodstream usually as a result of using catheters or having surgery. Pneumonia which predominantly affects people with underlying lung disease including those on mechanical ventilators. Endocarditis (infection of the heart valves) which can lead to heart failure. Osteomyelitis (bone infection) which can be caused by staph bacteria traveling in the bloodstream or put there by direct contact such as following trauma (puncture wound of foot or intravenous (IV) drug abuse). Top of page How do VISA and VRSA get their names? Staph bacteria are classified as VISA or VRSA based on laboratory tests. Laboratories perform tests to determine if staph bacteria are resistant to antimicrobial agents that might be used for treatment of infections. For vancomycin and other antimicrobial agents, laboratories determine how much of the agent it requires to inhibit the growth of the organism in a test tube. The result of the test is usually expressed as a minimum inhibitory concentration (MIC) or the minimum amount of antimicrobial agent that inhibits bacterial growth in the test tube. Therefore, staph bacteria are classified as VISA if the MIC for vancomycin is 4-8µg/ml, and classified as VRSA if the vancomycin MIC is ≥16µg/ml. Top of page What should a patient do if they suspect they have a staph, MRSA, VISA, or VRSA infection? See a healthcare provider. Top of page Are VISA and VRSA infections treatable? Yes. As of October 2010, all VISA and VRSA isolates have been susceptible to several Food and Drug Administration (FDA)-approved drugs. Top of page How can the spread of VISA and VRSA be prevented? Use of appropriate infection control practices (such as wearing gloves before and after contact with infectious body substances and adherence to hand hygiene) by healthcare personnel can reduce the spread of VISA and VRSA. Top of page What should a person do if a family member or close friend has VISA or VRSA? VISA and VRSA are types of antibiotic-resistant staph bacteria. Therefore, as with all staph bacteria, spread occurs among people having close physical contact with infected patients or contaminated material, such as bandages. Persons having close physical contact with infected patients while they are outside of the healthcare setting should: (1) keep their hands clean by washing thoroughly with soap and water, and (2) avoid contact with other people's wounds or material contaminated from wounds. If they go to the hospital to visit a friend or family member who is infected with VISA or VRSA , they must follow the hospital's recommended precautions. Top of page What is CDC doing to address VISA and VRSA? In addition to providing guidance for clinicians and infection control personnel, CDC is also working with state and local health agencies, healthcare facilities, and clinical microbiology laboratories to ensure that laboratories are using proper methods to detect VISA and VRSA. Top of page Recommendations and Guidelines CDC issued a Clinical Reminder, in 2010, which serves as a reminder about the important role of clinical laboratories in the diagnosis of VRSA cases to ensure prompt recognition, isolation, and management by infection control personnel. Investigation and Control of Vancomycin-Resistant Staphylococcus aureus (VRSA) [PDF - 300 KB] - This document is a guide to conducting a public health investigation of patients from whom vancomycin-resistant Staphylococcus aureus (VRSA, vancomycin MIC ≥ 16 µg/ml) has been isolated. The information reflects the experience gained from field investigations of the first fourteen VRSA identified in the United States. Top of page"
Quem corre risco de contrair a Febre Hemorrágica da Crimeia-Congo (CCHF)? ?,"Os carrapatos ixodídeos (duros), especialmente os do gênero Hyalomma, são reservatório e vetor do vírus CCHF. Numerosos animais selvagens e domésticos, como bovinos, caprinos, ovinos e lebres, servem como hospedeiros amplificadores do vírus. A transmissão para humanos ocorre através do contato com carrapatos infectados ou sangue de animais. O CCHF pode ser transmitido de um ser humano infectado para outro pelo contato com sangue ou fluidos corporais infecciosos. A propagação documentada da CCHF também ocorreu em hospitais devido à esterilização inadequada de equipamentos médicos, reutilização de agulhas de injeção e contaminação de suprimentos médicos."
Quais são os sintomas da Febre Hemorrágica da Crimeia-Congo (CCHF)?,"O início da ICCC é repentino, com sinais e sintomas iniciais incluindo dor de cabeça, febre alta, dor nas costas, dor nas articulações, dor de estômago e vômitos. Olhos vermelhos, rosto vermelho, garganta vermelha e petéquias (manchas vermelhas) no palato são comuns. Os sintomas também podem incluir icterícia e, em casos graves, alterações no humor e na percepção sensorial. 
                
À medida que a doença progride, podem ser observadas grandes áreas de hematomas graves, hemorragias nasais graves e sangramento descontrolado nos locais de injeção, começando por volta do quarto dia de doença e durando cerca de duas semanas. Em surtos documentados de CCHF, as taxas de mortalidade em pacientes hospitalizados variaram de 9% a 50%. 
                
Os efeitos a longo prazo da infecção por CCHF não foram suficientemente estudados nos sobreviventes para determinar se existem ou não complicações específicas. No entanto, a recuperação é lenta."
Quem corre risco de contrair a Febre Hemorrágica da Crimeia-Congo (CCHF)? ?,"Pastores de animais, trabalhadores pecuários e trabalhadores de matadouros em áreas endémicas estão em risco de contrair CCHF. Os profissionais de saúde em áreas endémicas correm o risco de infecção através do contacto desprotegido com sangue e fluidos corporais infecciosos. Indivíduos e viajantes internacionais com contacto com gado em regiões endémicas também podem estar expostos."
Como diagnosticar a Febre Hemorrágica da Crimeia-Congo (CCHF)?,"Os testes laboratoriais usados ​​​​para diagnosticar CCHF incluem ensaio imunoenzimático de captura de antígeno (ELISA), reação em cadeia da polimerase em tempo real (RT-PCR), tentativas de isolamento de vírus e detecção de anticorpos por ELISA (IgG e IgM). O diagnóstico laboratorial de um paciente com história clínica compatível com ICCC pode ser feito durante a fase aguda da doença, utilizando a combinação de detecção do antígeno viral (captura de antígeno ELISA), sequência de RNA viral (RT-PCR) no sangue ou em tecidos coletados de um caso fatal e isolamento do vírus. A coloração imuno-histoquímica também pode mostrar evidências de antígeno viral em tecidos fixados em formalina. Mais tarde, no curso da doença, nas pessoas que sobrevivem, podem ser encontrados anticorpos no sangue. Mas o antígeno, o RNA viral e o vírus não estão mais presentes e detectáveis"
Quais são os tratamentos para a Febre Hemorrágica da Crimeia-Congo (CCHF)?,"O tratamento para CCHF é principalmente de suporte. Os cuidados devem incluir atenção cuidadosa ao equilíbrio hídrico e correção de anormalidades eletrolíticas, oxigenação e suporte hemodinâmico e tratamento adequado de infecções secundárias. O vírus é sensível in vitro ao medicamento antiviral ribavirina. Tem sido usado no tratamento de pacientes com ICC, supostamente com algum benefício. 
Recuperação 
                
Os efeitos a longo prazo da infecção por CCHF não foram suficientemente estudados nos sobreviventes para determinar se existem ou não complicações específicas. No entanto, a recuperação é lenta."
Como prevenir a febre hemorrágica da Crimeia-Congo (CCHF)?,"Os trabalhadores agrícolas e outros que trabalham com animais devem usar repelente de insectos na pele e nas roupas expostas. Repelentes de insetos contendo DEET (N, N-dietil-m-toluamida) são os mais eficazes para afastar carrapatos. Recomenda-se o uso de luvas e outras roupas de proteção. Os indivíduos também devem evitar o contato com sangue e fluidos corporais de animais domésticos ou humanos que apresentem sintomas de infecção. É importante que os profissionais de saúde tomem precauções adequadas de controle de infecção para prevenir a exposição ocupacional. 
                
Uma vacina inativada, derivada do cérebro de camundongo, contra a CCHF foi desenvolvida e é usada em pequena escala na Europa Oriental. No entanto, não existe atualmente uma vacina segura e eficaz disponível para uso humano. Mais pesquisas são necessárias para desenvolver essas vacinas potenciais, bem como determinar a eficácia de diferentes opções de tratamento, incluindo a ribavirina e outros medicamentos antivirais."
Como prevenir a encefalite equina oriental?,"Não existe vacina contra o vírus da encefalite equina oriental (EEEV) para humanos. Reduzir a exposição aos mosquitos é a melhor defesa contra a infecção pelo EEEV e outros vírus transmitidos por mosquitos. Existem várias abordagens que você e sua família podem usar para prevenir e controlar doenças transmitidas por mosquitos. 
   
   - Use repelente: Ao ar livre, use repelente de insetos contendo DEET, picaridina, IR3535 ou óleo de eucalipto limão na pele e/ou roupas expostas. O repelente/inseticida permetrina pode ser usado nas roupas para proteção em diversas lavagens. Siga sempre as instruções da embalagem.  
   - Use roupas de proteção: Use mangas compridas e calças quando o tempo permitir.  
   - Instale e repare telas: Tenha telas seguras e intactas nas janelas e portas para manter os mosquitos afastados.  
   - Evite que os mosquitos ponham ovos perto de você: Os mosquitos podem botar ovos mesmo em pequenas quantidades de água parada. Livre-se dos criadouros do mosquito esvaziando a água parada de vasos de flores, baldes, barris e pneus. Troque a água dos pratos para animais de estimação e substitua a água das banheiras para pássaros semanalmente. Faça furos nos balanços dos pneus para que a água escorra. Esvazie as piscinas infantis e guarde-as de lado após o uso."
Quem corre risco de contrair febre hemorrágica de Lujo (LUHF)? ?,"Como todos os arenavírus, o vírus Lujo tem um hospedeiro roedor como reservatório. Os humanos podem contrair LUHF através do contato com um roedor infectado. O contato pode ser direto ou por inalação do vírus Lujo em aerossol da urina ou fezes de roedores infectados. 
 
A transmissão do vírus Lujo de pessoa para pessoa foi observada no pequeno grupo nosocomial de doença hemorrágica que resultou na descoberta do vírus Lujo. 
 
A transmissão de arenavírus, e do vírus Lujo em particular, é muito provavelmente o resultado do contacto directo com os fluidos corporais de uma pessoa infectada, na ausência de precauções de controlo de infecção."
Quais são os sintomas da Febre Hemorrágica de Lujo (LUHF)?,"Os sintomas da febre hemorrágica de Lujo, conforme descritos nos cinco pacientes do surto original, assemelham-se aos da febre de Lassa grave. Após um período de incubação de 7 a 13 dias, o curso clínico iniciou-se com uma doença febril inespecífica acompanhada de cefaleia e dores musculares. 
                
A doença aumenta em gravidade, com: 
 
 - erupção cutânea morbiliforme na face e no tronco 
 - inchaço do rosto e pescoço 
 - faringite (dor de garganta) 
 - diarréia 
 
                
O sangramento não foi uma característica proeminente durante a doença. 
                
Nos casos fatais (4/5 pacientes), uma melhora transitória foi seguida por: 
 
 - deterioração rápida com dificuldade respiratória 
 - sinais neurológicos e colapso circulatório 
 
                
A morte ocorreu 10 a 13 dias após o início. 
                
Plaquetas sanguíneas baixas, contagem baixa de glóbulos brancos (no início, aumentando mais tarde) e valores elevados da função hepática estiveram presentes em todos os pacientes. 
                
Como os arenavírus podem entrar no feto através da infecção da mãe, e evidências anedóticas sugerem que mulheres grávidas infectadas podem sofrer abortos espontâneos, é razoável supor que tanto a infecção do feto quanto o aborto espontâneo possam estar associados à infecção por Lujo na mãe."
Quem corre risco de contrair febre hemorrágica de Lujo (LUHF)? ?,"A febre hemorrágica de Lujo (LUHF) ocorre na África Austral. O caso inicial foi certamente infectado na Zâmbia. 
   Trabalhadores de campo 
   
Os trabalhadores de campo correm maior risco devido ao aumento do contacto humano com a população de roedores do reservatório. Os parceiros sexuais dos trabalhadores de campo também podem correr maior risco. Além da infecção nosocomial em profissionais de saúde já descrita, as infecções laboratoriais têm sido frequentemente descritas com Arenavírus e o vírus Lujo pode certamente ser transmitido aos trabalhadores de laboratório durante a manipulação do vírus, especialmente durante infecções experimentais de roedores."
Como diagnosticar a febre hemorrágica de Lujo (LUHF)?,"Durante a fase febril aguda, o vírus Lujo foi isolado do sangue do 2º ao 13º dia após o início. O vírus também foi isolado de tecido hepático obtido post-mortem. Uma análise genômica completa subsequente do vírus Lujo facilitou o desenvolvimento de ensaios de detecção molecular específica (RT-PCR). 
   
O diagnóstico sorológico da febre hemorrágica de Lujo pode ser feito por ensaio de imunofluorescência indireta e ELISA. No entanto, indivíduos de áreas endémicas que apresentem febre, erupção cutânea, faringite, acompanhados por resultados laboratoriais de baixa contagem de plaquetas e enzimas hepáticas elevadas, devem ser suspeitos de terem uma infecção pelo vírus da febre hemorrágica. As amostras clínicas devem ser testadas utilizando ensaios específicos."
Quais são os tratamentos para a febre hemorrágica de Lujo (LUHF)?,"A terapia de suporte é importante na febre hemorrágica de Lujo. Isso inclui: 
    
    - manutenção da hidratação 
    - manejo do choque 
    - sedação 
    - alívio da dor 
    - precauções habituais para pacientes com distúrbios hemorrágicos 
    - transfusões (quando necessário) 
    
   
O tratamento das febres hemorrágicas por arenavírus com terapia plasmática convalescente reduz significativamente a mortalidade e evidências anedóticas do único paciente Lujo sobrevivente mostram que o medicamento antiviral ribavirina pode ser promissor no tratamento da LUHF. A ribavirina tem sido considerada para prevenir o desenvolvimento de doenças em pessoas expostas a outros arenavírus. 
   Recuperação 
   
A mortalidade precisa da LUHF é desconhecida, mas 4 dos 5 casos descritos foram fatais. 
   
Pacientes que sofreram de outros arenavírus podem excretar o vírus na urina ou no sêmen durante semanas após a recuperação. Por esta razão, estes fluidos devem ser monitorizados quanto à infecciosidade, uma vez que os pacientes convalescentes têm o potencial de infectar outras pessoas (particularmente parceiros sexuais) através destes fluidos."
Como prevenir a febre hemorrágica de Lujo (LUHF)?,"Embora o controlo de roedores seja desejável, não será uma estratégia bem sucedida para prevenir casos de febre hemorrágica de Lujo causados ​​por exposições ao ar livre. 
   
Tal como acontece com outras febres hemorrágicas, devem ser implementados procedimentos de enfermagem de barreira total durante o tratamento de casos suspeitos ou confirmados de LUHF (nenhuma infecção ocorreu após a sua implementação na África do Sul)."
como as vacinas previnem doenças,"Por que as vacinas infantis são tão importantes? É sempre melhor prevenir uma doença do que tratá-la depois que ela ocorre. Doenças que costumavam ser comuns neste país e em todo o mundo, incluindo poliomielite, sarampo, difteria, coqueluche (tosse convulsa), rubéola (sarampo alemão), caxumba, tétano, rotavírus e Haemophilus influenzae tipo b (Hib) podem agora ser prevenidas através da vacinação. Graças a uma vacina, uma das doenças mais terríveis da história – a varíola – já não existe fora do laboratório. Ao longo dos anos, as vacinas preveniram inúmeros casos de doenças e salvaram milhões de vidas. A imunidade nos protege de doenças A imunidade é a maneira que o corpo usa para prevenir doenças.  As crianças nascem com um sistema imunológico composto por células, glândulas, órgãos e fluidos localizados por todo o corpo. O sistema imunológico reconhece os germes que entram no corpo como “invasores estranhos” (chamados antígenos) e produz proteínas chamadas anticorpos para combatê-los. Na primeira vez que uma criança é infectada com um antígeno específico (por exemplo, o vírus do sarampo), o sistema imunológico produz anticorpos projetados para combatê-lo. Isso leva tempo. . . normalmente, o sistema imunológico não consegue trabalhar rápido o suficiente para evitar que o antígeno cause doenças, então a criança ainda fica doente.  No entanto, o sistema imunológico “lembra” desse antígeno. Se voltar a entrar no corpo, mesmo depois de muitos anos, o sistema imunológico pode produzir anticorpos com rapidez suficiente para evitar que cause uma segunda doença. Essa proteção é chamada de imunidade. Seria bom se houvesse uma maneira de dar imunidade às crianças a uma doença sem que elas tivessem que ficar doentes primeiro. Na verdade existe: As vacinas contêm os mesmos antígenos (ou partes de antígenos) que causam doenças. Por exemplo, a vacina contra o sarampo contém o vírus do sarampo. Mas os antígenos nas vacinas são mortos ou enfraquecidos a ponto de não causarem doenças. No entanto, eles são fortes o suficiente para fazer com que o sistema imunológico produza anticorpos que levam à imunidade. Por outras palavras, uma vacina é um substituto mais seguro para a primeira exposição de uma criança a uma doença. A criança recebe proteção sem precisar ficar doente. Através da vacinação, as crianças podem desenvolver imunidade sem sofrer as doenças que as vacinas previnem. Início da página Mais fatos Os bebês recém-nascidos são imunes a muitas doenças porque possuem anticorpos que receberam das mães. No entanto, esta imunidade desaparece durante o primeiro ano de vida. Se uma criança não vacinada for exposta a um germe de doença, o corpo da criança pode não ser suficientemente forte para combater a doença. Antes das vacinas, muitas crianças morriam de doenças que as vacinas agora previnem, como a tosse convulsa, o sarampo e a poliomielite. Esses mesmos germes existem hoje, mas como os bebés são protegidos por vacinas, não vemos estas doenças com tanta frequência. A imunização de crianças individuais também ajuda a proteger a saúde da nossa comunidade, especialmente daquelas pessoas que não podem ser imunizadas (crianças que são demasiado novas para serem vacinadas, ou aquelas que não podem receber determinadas vacinas por razões médicas), e a pequena proporção de pessoas que não respondem a uma determinada vacina. As doenças evitáveis ​​por vacinação têm um impacto dispendioso, resultando em consultas médicas, hospitalizações e mortes prematuras. Crianças doentes também podem fazer com que os pais percam tempo no trabalho.   Páginas relacionadas Por que imunizar? Vacinas: Uma Escolha Segura Guia para Imunizações para os Pais Para os Pais: Como as Vacinas Previnem Doenças Topo da página As imagens e logotipos neste site que são marcas registradas/protegidas por direitos autorais ou usados ​​com permissão do detentor da marca registrada/direitos autorais ou do logotipo não são de domínio público. Estas imagens e logotipos foram licenciados ou usados ​​com permissão nos materiais fornecidos neste site. Os materiais no formulário apresentado neste site podem ser utilizados sem necessidade de autorização adicional. Qualquer outro uso de imagens ou logotipos de marca registrada/protegidos por direitos autorais requer permissão do detentor da marca registrada/direitos autorais...mais Este aviso gráfico significa que você está saindo de um site da HHS. Para obter mais informações, consulte a política de Notificação de Saída e Isenção de Responsabilidade."
Para quem está em risco? ?,"Sarampo: certifique-se de que seu filho está protegido com a vacina MMR O sarampo começa com febre. Logo depois, causa tosse, coriza e olhos vermelhos. Em seguida, surge uma erupção de pequenas manchas vermelhas. O sarampo pode ser grave para crianças pequenas. Aprenda como proteger seu filho do sarampo com a vacina MMR. Proteja seu filho em todas as idades. Clique na faixa etária do seu filho para obter informações sobre vacinas. Visualize ou imprima informações sobre vacinas específicas por idade [252 KB, 27 páginas] Registros e requisitos Registro de imunizações Localização de registros de imunização Interpretação de abreviações em registros Requisitos de imunização para creches e escolas Tomada de decisão sobre a vacina Como as vacinas previnem doenças Efeitos colaterais/riscos da vacina Ingredientes da vacina Garantindo a segurança da vacina As vacinas e o sistema imunológico do seu filho Saiba mais sobre vacinas para pré-adolescentes e adolescentes O programa Vacinas para Crianças ajudou a prevenir doenças e salvar vidas... grande hora! [visualização ampliada] Assista ao livro de imunização para bebês Saiba quais vacinas seu filho precisa, quando são necessárias e por que é tão importante seguir o cronograma de imunização recomendado pelo CDC enquanto você folheia este livro em vídeo para bebês (4:04 minutos) na CDC-TV ou no YouTube. Quem e quando (cronogramas de imunização) Cronograma do nascimento aos 6 anos [2 páginas] Crie um cronograma para seu filho Cronograma de 7 a 18 anos [2 páginas] Cronograma de 19 anos ou mais [2 páginas] Saiba mais sobre como o CDC define o calendário de imunização para sua família É importante conhecer as taxas de vacinação infantil em sua comunidade. Mais doenças e as vacinas que as previnem Saiba mais sobre as 16 doenças que podem ser prevenidas com vacinas, bem como os benefícios e riscos da vacinação. Saiba mais sobre... Adoção e vacinas Gravidez Ajuda no pagamento de vacinas Avaliação de informações na web"
Como prevenir?,"Vacinas e doenças evitáveis Nesta página Escassez e atrasos de vacinas Potenciais novas vacinas Vacinas: O básico Perguntas frequentes sobre vacinas e doenças que elas previnem DOENÇAS EVITÁVEIS POR VACINAS OU encontre-as por Vacina Antraz Câncer cervical Difteria Hepatite A Hepatite B Haemophilus influenzae tipo b (Hib) Papilomavírus humano (HPV) Gripe H1N1 (Gripe Suína) Gripe (gripe sazonal) Encefalite japonesa (JE) Sarampo Caxumba meningocócica Coqueluche (tosse convulsa) Poliomielite pneumocócica (poliomielite) Raiva Rotavírus Rubéola (sarampo alemão) Herpes zóster (Herpes zoster) Varíola Tétano (trava) Tuberculose Febre tifóide Varicela (varicela) Febre amarela Visão geral Doença evitável por vacinação os níveis estão em níveis mínimos recordes ou próximos deles. Embora a maioria dos bebés e crianças pequenas tenham recebido todas as vacinas recomendadas até aos 2 anos de idade, muitas crianças subimunizadas permanecem, deixando o potencial para surtos de doenças. Muitos adolescentes e adultos também estão subimunizados, perdendo oportunidades de se protegerem contra doenças como a hepatite B, a gripe e a doença pneumocócica. O CDC trabalha em estreita colaboração com agências de saúde pública e parceiros privados para melhorar e sustentar a cobertura vacinal e para monitorizar a segurança das vacinas, para que esta história de sucesso em saúde pública possa ser mantida e expandida no próximo século. Escassez e atrasos de vacinas As informações nacionais mais recentes sobre suprimentos de vacinas e orientações para profissionais de saúde que enfrentam escassez ou atrasos de vacinas Gráfico de escassez e atrasos Recursos potenciais de novas vacinas para encontrar informações sobre possíveis vacinas, status de pesquisa e desenvolvimento, status de licenciamento, etc. O novo programa de rede de vigilância de vacinas avalia o impacto de novas vacinas e políticas de vacinas por meio de uma rede de 6 locais nos EUA Status de licenciamento e recomendações para novas vacinas Academia Americana de Pediatria (AAP) Potenciais Novas Vacinas Coligação de Acção de Imunização (IAC) Vacinas: O Básico Sem vacinas, as epidemias de muitas doenças evitáveis poderão regressar, resultando num aumento – e desnecessário – de doenças, incapacidades e mortes. Tudo sobre vacinas Como as vacinas previnem doenças Lista de todas as doenças evitáveis ​​por vacinação Lista de todas as vacinas usadas nos Estados Unidos Fotos de doenças evitáveis ​​por vacinação e/ou pessoas afetadas por elas Ver tudo... Perguntas frequentes sobre vacinas e doenças que elas previnem Quais são os ingredientes das vacinas? De quais vacinas os adultos precisam? De quais vacinas as crianças precisam? Quais vacinas são usadas nos Estados Unidos? Que doenças as vacinas previnem? Ver tudo... Páginas relacionadas Noções básicas e perguntas comuns Quem NÃO deve tomar essas vacinas? Histórias desprotegidas Topo da página Imagens e logotipos neste site que são marcas registradas/protegidas por direitos autorais ou usados ​​com permissão da marca registrada/direitos autorais ou detentor do logotipo não são de domínio público. Estas imagens e logotipos foram licenciados ou usados ​​com permissão nos materiais fornecidos neste site. Os materiais no formulário apresentado neste site podem ser utilizados sem necessidade de autorização adicional. Qualquer outro uso de imagens ou logotipos de marca registrada/protegidos por direitos autorais requer permissão do detentor da marca registrada/direitos autorais...mais Este aviso gráfico significa que você está saindo de um site da HHS. Para obter mais informações, consulte a política de Notificação de Saída e Isenção de Responsabilidade."
quais doenças são evitáveis ​​por vacinação,"Lista de doenças evitáveis ​​por vacinação Os links a seguir levarão você à página principal que descreve a doença e a(s) vacina(s). As vacinas estão disponíveis para todas as seguintes doenças evitáveis ​​por vacinação (salvo indicação em contrário): Antraz Câncer cervical (Papilomavírus humano) Difteria Hepatite A Hepatite B Haemophilus influenzae tipo b (Hib) Papilomavírus humano (HPV) Influenza (Gripe) Encefalite japonesa (JE) Sarampo Meningocócica Caxumba Coqueluche Pneumocócica Poliomielite Raiva Rotavírus Rubéola herpes zoster (Herpes Zoster) Varíola Tétano Tifóide Tuberculose (TB) Varicela (Varicela) Febre amarela Páginas relacionadas para os pais: O que você precisa saber Lista de vacinas usadas nos EUA Fotos de doenças Topo da página Imagens e logotipos neste site que são marcas registradas/protegidas por direitos autorais ou usadas com permissão da marca registrada/direitos autorais ou detentor do logotipo não são de domínio público. Estas imagens e logotipos foram licenciados ou usados ​​com permissão nos materiais fornecidos neste site. Os materiais no formulário apresentado neste site podem ser utilizados sem necessidade de autorização adicional. Qualquer outro uso de imagens ou logotipos de marca registrada/protegidos por direitos autorais requer permissão do detentor da marca registrada/direitos autorais...mais Este aviso gráfico significa que você está saindo de um site da HHS. Para obter mais informações, consulte a política de Notificação de Saída e Isenção de Responsabilidade."
